sorted_opacity shape: torch.Size([1265, 1]), gauss_weight shape: torch.Size([64, 1265])
sorted_opacity shape: torch.Size([1278, 1]), gauss_weight shape: torch.Size([64, 1278])
sorted_opacity shape: torch.Size([1237, 1]), gauss_weight shape: torch.Size([64, 1237])
sorted_opacity shape: torch.Size([1175, 1]), gauss_weight shape: torch.Size([64, 1175])
sorted_opacity shape: torch.Size([1094, 1]), gauss_weight shape: torch.Size([64, 1094])
sorted_opacity shape: torch.Size([1011, 1]), gauss_weight shape: torch.Size([64, 1011])
sorted_opacity shape: torch.Size([926, 1]), gauss_weight shape: torch.Size([64, 926])
sorted_opacity shape: torch.Size([837, 1]), gauss_weight shape: torch.Size([64, 837])
sorted_opacity shape: torch.Size([741, 1]), gauss_weight shape: torch.Size([64, 741])
sorted_opacity shape: torch.Size([656, 1]), gauss_weight shape: torch.Size([64, 656])
sorted_opacity shape: torch.Size([562, 1]), gauss_weight shape: torch.Size([64, 562])
sorted_opacity shape: torch.Size([477, 1]), gauss_weight shape: torch.Size([64, 477])
sorted_opacity shape: torch.Size([362, 1]), gauss_weight shape: torch.Size([64, 362])
sorted_opacity shape: torch.Size([258, 1]), gauss_weight shape: torch.Size([64, 258])
sorted_opacity shape: torch.Size([184, 1]), gauss_weight shape: torch.Size([64, 184])
sorted_opacity shape: torch.Size([111, 1]), gauss_weight shape: torch.Size([64, 111])
sorted_opacity shape: torch.Size([66, 1]), gauss_weight shape: torch.Size([64, 66])
sorted_opacity shape: torch.Size([50, 1]), gauss_weight shape: torch.Size([64, 50])
sorted_opacity shape: torch.Size([39, 1]), gauss_weight shape: torch.Size([64, 39])
sorted_opacity shape: torch.Size([38, 1]), gauss_weight shape: torch.Size([64, 38])
sorted_opacity shape: torch.Size([29, 1]), gauss_weight shape: torch.Size([64, 29])
sorted_opacity shape: torch.Size([23, 1]), gauss_weight shape: torch.Size([64, 23])
sorted_opacity shape: torch.Size([20, 1]), gauss_weight shape: torch.Size([64, 20])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([64, 19])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([64, 17])
sorted_opacity shape: torch.Size([15, 1]), gauss_weight shape: torch.Size([64, 15])
sorted_opacity shape: torch.Size([13, 1]), gauss_weight shape: torch.Size([64, 13])
sorted_opacity shape: torch.Size([15, 1]), gauss_weight shape: torch.Size([64, 15])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([64, 19])
sorted_opacity shape: torch.Size([24, 1]), gauss_weight shape: torch.Size([64, 24])
sorted_opacity shape: torch.Size([29, 1]), gauss_weight shape: torch.Size([64, 29])
sorted_opacity shape: torch.Size([32, 1]), gauss_weight shape: torch.Size([64, 32])
sorted_opacity shape: torch.Size([38, 1]), gauss_weight shape: torch.Size([64, 38])
sorted_opacity shape: torch.Size([45, 1]), gauss_weight shape: torch.Size([64, 45])
sorted_opacity shape: torch.Size([55, 1]), gauss_weight shape: torch.Size([64, 55])
