sorted_opacity shape: torch.Size([1305, 1]), gauss_weight shape: torch.Size([64, 1305])
sorted_opacity shape: torch.Size([1308, 1]), gauss_weight shape: torch.Size([64, 1308])
sorted_opacity shape: torch.Size([1265, 1]), gauss_weight shape: torch.Size([64, 1265])
sorted_opacity shape: torch.Size([1188, 1]), gauss_weight shape: torch.Size([64, 1188])
sorted_opacity shape: torch.Size([1105, 1]), gauss_weight shape: torch.Size([64, 1105])
sorted_opacity shape: torch.Size([1021, 1]), gauss_weight shape: torch.Size([64, 1021])
sorted_opacity shape: torch.Size([931, 1]), gauss_weight shape: torch.Size([64, 931])
sorted_opacity shape: torch.Size([841, 1]), gauss_weight shape: torch.Size([64, 841])
sorted_opacity shape: torch.Size([739, 1]), gauss_weight shape: torch.Size([64, 739])
sorted_opacity shape: torch.Size([629, 1]), gauss_weight shape: torch.Size([64, 629])
sorted_opacity shape: torch.Size([524, 1]), gauss_weight shape: torch.Size([64, 524])
sorted_opacity shape: torch.Size([422, 1]), gauss_weight shape: torch.Size([64, 422])
sorted_opacity shape: torch.Size([352, 1]), gauss_weight shape: torch.Size([64, 352])
sorted_opacity shape: torch.Size([247, 1]), gauss_weight shape: torch.Size([64, 247])
sorted_opacity shape: torch.Size([165, 1]), gauss_weight shape: torch.Size([64, 165])
sorted_opacity shape: torch.Size([104, 1]), gauss_weight shape: torch.Size([64, 104])
sorted_opacity shape: torch.Size([62, 1]), gauss_weight shape: torch.Size([64, 62])
sorted_opacity shape: torch.Size([51, 1]), gauss_weight shape: torch.Size([64, 51])
sorted_opacity shape: torch.Size([43, 1]), gauss_weight shape: torch.Size([64, 43])
sorted_opacity shape: torch.Size([34, 1]), gauss_weight shape: torch.Size([64, 34])
sorted_opacity shape: torch.Size([27, 1]), gauss_weight shape: torch.Size([64, 27])
sorted_opacity shape: torch.Size([24, 1]), gauss_weight shape: torch.Size([64, 24])
sorted_opacity shape: torch.Size([18, 1]), gauss_weight shape: torch.Size([64, 18])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([64, 16])
