sorted_opacity shape: torch.Size([215, 1]), gauss_weight shape: torch.Size([16, 215])
sorted_opacity shape: torch.Size([187, 1]), gauss_weight shape: torch.Size([16, 187])
sorted_opacity shape: torch.Size([162, 1]), gauss_weight shape: torch.Size([16, 162])
sorted_opacity shape: torch.Size([132, 1]), gauss_weight shape: torch.Size([16, 132])
sorted_opacity shape: torch.Size([111, 1]), gauss_weight shape: torch.Size([16, 111])
sorted_opacity shape: torch.Size([92, 1]), gauss_weight shape: torch.Size([16, 92])
sorted_opacity shape: torch.Size([76, 1]), gauss_weight shape: torch.Size([16, 76])
sorted_opacity shape: torch.Size([65, 1]), gauss_weight shape: torch.Size([16, 65])
sorted_opacity shape: torch.Size([51, 1]), gauss_weight shape: torch.Size([16, 51])
sorted_opacity shape: torch.Size([44, 1]), gauss_weight shape: torch.Size([16, 44])
sorted_opacity shape: torch.Size([42, 1]), gauss_weight shape: torch.Size([16, 42])
sorted_opacity shape: torch.Size([36, 1]), gauss_weight shape: torch.Size([16, 36])
sorted_opacity shape: torch.Size([33, 1]), gauss_weight shape: torch.Size([16, 33])
sorted_opacity shape: torch.Size([31, 1]), gauss_weight shape: torch.Size([16, 31])
sorted_opacity shape: torch.Size([29, 1]), gauss_weight shape: torch.Size([16, 29])
sorted_opacity shape: torch.Size([26, 1]), gauss_weight shape: torch.Size([16, 26])
sorted_opacity shape: torch.Size([26, 1]), gauss_weight shape: torch.Size([16, 26])
sorted_opacity shape: torch.Size([23, 1]), gauss_weight shape: torch.Size([16, 23])
sorted_opacity shape: torch.Size([20, 1]), gauss_weight shape: torch.Size([16, 20])
sorted_opacity shape: torch.Size([20, 1]), gauss_weight shape: torch.Size([16, 20])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([16, 19])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([16, 17])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([16, 17])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([16, 17])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([16, 16])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([16, 16])
sorted_opacity shape: torch.Size([13, 1]), gauss_weight shape: torch.Size([16, 13])
sorted_opacity shape: torch.Size([14, 1]), gauss_weight shape: torch.Size([16, 14])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([16, 16])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([16, 17])
sorted_opacity shape: torch.Size([18, 1]), gauss_weight shape: torch.Size([16, 18])
sorted_opacity shape: torch.Size([18, 1]), gauss_weight shape: torch.Size([16, 18])
sorted_opacity shape: torch.Size([18, 1]), gauss_weight shape: torch.Size([16, 18])
sorted_opacity shape: torch.Size([23, 1]), gauss_weight shape: torch.Size([16, 23])
sorted_opacity shape: torch.Size([26, 1]), gauss_weight shape: torch.Size([16, 26])
sorted_opacity shape: torch.Size([27, 1]), gauss_weight shape: torch.Size([16, 27])
sorted_opacity shape: torch.Size([28, 1]), gauss_weight shape: torch.Size([16, 28])
sorted_opacity shape: torch.Size([29, 1]), gauss_weight shape: torch.Size([16, 29])
sorted_opacity shape: torch.Size([33, 1]), gauss_weight shape: torch.Size([16, 33])
sorted_opacity shape: torch.Size([33, 1]), gauss_weight shape: torch.Size([16, 33])
sorted_opacity shape: torch.Size([36, 1]), gauss_weight shape: torch.Size([16, 36])
sorted_opacity shape: torch.Size([37, 1]), gauss_weight shape: torch.Size([16, 37])
sorted_opacity shape: torch.Size([40, 1]), gauss_weight shape: torch.Size([16, 40])
sorted_opacity shape: torch.Size([45, 1]), gauss_weight shape: torch.Size([16, 45])
sorted_opacity shape: torch.Size([52, 1]), gauss_weight shape: torch.Size([16, 52])
sorted_opacity shape: torch.Size([62, 1]), gauss_weight shape: torch.Size([16, 62])
sorted_opacity shape: torch.Size([79, 1]), gauss_weight shape: torch.Size([16, 79])
sorted_opacity shape: torch.Size([91, 1]), gauss_weight shape: torch.Size([16, 91])
sorted_opacity shape: torch.Size([111, 1]), gauss_weight shape: torch.Size([16, 111])
sorted_opacity shape: torch.Size([144, 1]), gauss_weight shape: torch.Size([16, 144])
sorted_opacity shape: torch.Size([167, 1]), gauss_weight shape: torch.Size([16, 167])
sorted_opacity shape: torch.Size([197, 1]), gauss_weight shape: torch.Size([16, 197])
sorted_opacity shape: torch.Size([231, 1]), gauss_weight shape: torch.Size([16, 231])
sorted_opacity shape: torch.Size([261, 1]), gauss_weight shape: torch.Size([16, 261])
sorted_opacity shape: torch.Size([294, 1]), gauss_weight shape: torch.Size([16, 294])
sorted_opacity shape: torch.Size([334, 1]), gauss_weight shape: torch.Size([16, 334])
sorted_opacity shape: torch.Size([372, 1]), gauss_weight shape: torch.Size([16, 372])
sorted_opacity shape: torch.Size([406, 1]), gauss_weight shape: torch.Size([16, 406])
sorted_opacity shape: torch.Size([451, 1]), gauss_weight shape: torch.Size([16, 451])
sorted_opacity shape: torch.Size([485, 1]), gauss_weight shape: torch.Size([16, 485])
sorted_opacity shape: torch.Size([534, 1]), gauss_weight shape: torch.Size([16, 534])
sorted_opacity shape: torch.Size([571, 1]), gauss_weight shape: torch.Size([16, 571])
sorted_opacity shape: torch.Size([611, 1]), gauss_weight shape: torch.Size([16, 611])
sorted_opacity shape: torch.Size([652, 1]), gauss_weight shape: torch.Size([16, 652])
sorted_opacity shape: torch.Size([692, 1]), gauss_weight shape: torch.Size([16, 692])
sorted_opacity shape: torch.Size([719, 1]), gauss_weight shape: torch.Size([16, 719])
sorted_opacity shape: torch.Size([744, 1]), gauss_weight shape: torch.Size([16, 744])
sorted_opacity shape: torch.Size([785, 1]), gauss_weight shape: torch.Size([16, 785])
sorted_opacity shape: torch.Size([832, 1]), gauss_weight shape: torch.Size([16, 832])
sorted_opacity shape: torch.Size([864, 1]), gauss_weight shape: torch.Size([16, 864])
sorted_opacity shape: torch.Size([904, 1]), gauss_weight shape: torch.Size([16, 904])
sorted_opacity shape: torch.Size([952, 1]), gauss_weight shape: torch.Size([16, 952])
sorted_opacity shape: torch.Size([992, 1]), gauss_weight shape: torch.Size([16, 992])
sorted_opacity shape: torch.Size([1005, 1]), gauss_weight shape: torch.Size([16, 1005])
sorted_opacity shape: torch.Size([1022, 1]), gauss_weight shape: torch.Size([16, 1022])
sorted_opacity shape: torch.Size([1025, 1]), gauss_weight shape: torch.Size([16, 1025])
